Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.2354, 19.646, 379242

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 23.3046, 22.6259, 329295

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 23.9816, 23.2831, 319999

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.6125, 20.0121, 372303

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.1156, 19.3419, 385204
