Time,from_ingress_queue_size,to_ingress_queue_size
6573.2,1,nan
6573.95,0,nan
6954.67,1,nan
6955.42,0,nan
7573.95,0,0
7955.42,0,1
7957.42,0,0
11147.9,1,0
11148.6,0,0
11532.4,1,0
11533.1,0,0
12148.6,0,0
12533.1,0,1
12535.1,0,0
15722.6,1,0
15723.3,0,0
16110.1,1,0
16110.8,0,0
16723.3,0,0
17110.8,0,1
17112.8,0,0
20297.3,1,0
20298,0,0
20678.8,1,0
20679.5,0,0
21060.2,1,0
21061,0,0
21298,0,0
21441.7,1,0
21442.4,0,0
21679.5,0,1
21681.5,0,0
22061,0,1
22063,0,0
22442.4,0,1
22444.4,0,0
24872,1,0
24872.7,0,0
25256.5,1,0
25257.2,0,0
25637.9,1,0
25638.7,0,0
25872.7,0,0
26019.4,1,0
26020.1,0,0
26257.2,0,1
26259.2,0,0
26638.7,0,1
26640.7,0,0
27020.1,0,1
27022.1,0,0
29446.7,1,0
29447.4,0,0
29834.1,1,0
29834.9,0,0
30215.6,1,0
30216.4,0,0
30447.4,0,0
30597.1,1,0
30597.8,0,0
30834.9,0,1
30836.9,0,0
31216.4,0,1
31218.4,0,0
31597.8,0,1
31599.8,0,0
34021.4,1,0
34022.1,0,0
34402.8,1,0
34403.6,0,0
34784.3,1,0
34785.1,0,0
35022.1,0,0
35165.8,1,0
35166.5,0,0
35403.6,0,1
35405.6,0,0
35547.3,1,0
35548,0,0
35785.1,0,1
35787.1,0,0
35928.7,1,0
35929.5,0,0
36166.5,0,1
36168.5,0,0
36548,0,1
36550,0,0
36929.5,0,1
36931.5,0,0
38596.1,1,0
38596.8,0,0
38980.5,1,0
38981.3,0,0
39362,1,0
39362.8,0,0
39596.8,0,0
39743.5,1,0
39744.2,0,0
39981.3,0,1
39983.3,0,0
40124.9,1,0
40125.7,0,0
40362.8,0,1
40364.8,0,0
40506.4,1,0
40507.2,0,0
40744.2,0,1
40746.2,0,0
41125.7,0,1
41127.7,0,0
41507.2,0,1
41509.2,0,0
43170.8,1,0
43171.5,0,0
43558.2,1,0
43559,0,0
43939.7,1,0
43940.4,0,0
44171.5,0,0
44321.2,1,0
44321.9,0,0
44559,0,1
44561,0,0
44702.6,1,0
44703.4,0,0
44940.4,0,1
44942.4,0,0
45084.1,1,0
45084.9,0,0
45321.9,0,1
45323.9,0,0
45703.4,0,1
45705.4,0,0
46084.9,0,1
46086.9,0,0
47745.5,1,0
47746.2,0,0
48135.9,1,0
48136.7,0,0
48517.4,1,0
48518.1,0,0
48746.2,0,0
48898.9,1,0
48899.6,0,0
49136.7,0,1
49138.7,0,0
49280.3,1,0
49281.1,0,0
49518.1,0,1
49520.1,0,0
49661.8,1,0
49662.6,0,0
49899.6,0,1
49901.6,0,0
50043.3,1,0
50044,0,0
50281.1,0,1
50283.1,0,0
50662.6,0,1
50664.6,0,0
51044,0,0
52320.2,1,0
52320.9,0,0
52712.6,1,0
52713.4,0,0
53095.1,1,0
53095.8,0,0
53320.9,0,0
53476.6,1,0
53477.3,0,0
53713.4,0,1
53715.4,0,0
53858,1,0
53858.8,0,0
54095.8,0,1
54097.8,0,0
54239.5,1,0
54240.2,0,0
54477.3,0,1
54479.3,0,0
54621,1,0
54621.7,0,0
54858.8,0,1
54860.8,0,0
55240.2,0,1
55242.2,0,0
55621.7,0,0
56894.8,1,0
56895.6,0,0
57289.3,1,0
57290.1,0,0
57672.8,1,0
57673.5,0,0
57895.6,0,0
58054.3,1,0
58055,0,0
58290.1,0,1
58292.1,0,0
58435.7,1,0
58436.5,0,0
58673.5,0,1
58675.5,0,0
58817.2,1,0
58817.9,0,0
59055,0,1
59057,0,0
59198.7,1,0
59199.4,0,0
59436.5,0,1
59438.5,0,0
59580.1,1,0
59580.9,0,0
59817.9,0,1
59819.9,0,0
60199.4,0,0
60580.9,0,0
61469.5,1,0
61470.3,0,0
61866,1,0
61866.8,0,0
62249.5,1,0
62250.2,0,0
62470.3,0,0
62631,1,0
62631.7,0,0
62866.8,0,0
63012.4,1,0
63013.2,0,0
63250.2,0,1
63252.2,0,0
63393.9,1,0
63394.6,0,0
63631.7,0,1
63633.7,0,0
63775.4,1,0
63776.1,0,0
64013.2,0,1
64015.2,0,0
64156.8,1,0
64157.6,0,0
64394.6,0,1
64396.6,0,0
64538.3,1,0
64539,0,0
64776.1,0,0
65157.6,0,0
65539,0,0
66044.2,1,0
66045,0,0
66440.7,1,0
66441.5,0,0
66826.2,1,0
66826.9,0,0
67045,0,0
